Name           ,Parent     ,Centre ,Colour          ,Datatype   ,Radii 1 (eq),Radii 2 (eq),Radii 3 (pol)  ,GMBary (km3)         ,GMBody (km3)       ,RA (deg)       ,Dec (deg)  ,Epoch (deg)    ,Rot day (deg)      ,Shift  ,Atmosphere
Sol            ,None       ,None   ,"255,245,156"   ,None       ,695700      ,695700      ,695700         ,False                ,132712440041.93938 ,286.13         ,63.87      ,84.176         ,14.1844            ,0      ,None
Mercury        ,Sol        ,body   ,"228,218,235"   ,elements   ,2440.53     ,2440.53     ,2440.53        ,False                ,22031.86855        ,281.0103       ,61.4155    ,329.5988       ,6.1385108          ,0      ,none
Venus          ,Sol        ,body   ,"240,212,113"   ,elements   ,6051.8      ,6051.8      ,6051.8         ,False                ,324858.592         ,272.76         ,67.16      ,160.2          ,-1.4813688         ,0      ,none
Earth          ,Sol        ,body   ,"107,155,250"   ,elements   ,6378.1366   ,6378.1366   ,6356.7519      ,False                ,398600.435507      ,0              ,90         ,190.147        ,360.9856235        ,0      ,TRUE
Luna           ,Earth      ,bary   ,"230,230,230"   ,elements   ,1737.4      ,1737.4      ,1737.4         ,False                ,4902.800118        ,269.9949       ,66.5392    ,38.3213        ,13.17635815        ,0      ,none
Mars           ,Sol        ,body   ,"204,124,090"   ,elements   ,3396.19     ,3396.19     ,3376.2         ,False                ,42828.375816       ,317.269202     ,54.432516  ,176.049863     ,350.891982443297   ,0      ,TRUE
Phobos         ,Mars       ,body   ,"179,138,134"   ,elements   ,13.0        ,11.4        ,9.1            ,False                ,0.0007087          ,317.67071657   ,52.88627266,35.1877444     ,1128.84475928      ,0      ,none
Deimos         ,Mars       ,body   ,"214,194,165"   ,elements   ,7.8         ,6.0         ,5.1            ,False                ,0.0000962          ,316.65705808   ,53.50992033,79.39932954    ,285.16188899       ,0      ,none
Ceres          ,Sol        ,body   ,"160,160,160"   ,elements   ,487.3       ,487.3       ,446            ,False                ,62.6284            ,291.418        ,66.764     ,170.650        ,952.1532           ,0      ,none
Pallas         ,Sol        ,body   ,"160,160,160"   ,elements   ,275         ,258         ,238            ,False                ,13.63              ,33             ,-3         ,38             ,1105.8036          ,0      ,none
Juno           ,Sol        ,body   ,"160,160,160"   ,elements   ,160         ,133.5       ,100            ,Mass                 ,2.70000000E+19     ,0              ,90         ,0              ,1198.4021          ,0      ,none
Vesta          ,Sol        ,body   ,"160,160,160"   ,elements   ,289         ,280         ,229            ,False                ,17.28824           ,309.031        ,42.235     ,285.39         ,1617.3329428       ,0      ,none
Astraea        ,Sol        ,body   ,"160,160,160"   ,elements   ,83.5        ,61.3        ,41             ,Mass                 ,2.90000000E+18     ,0              ,90         ,0              ,514.2637           ,0      ,none
Apophis        ,Sol        ,body   ,"160,160,160"   ,elements   ,0.225       ,0.225       ,0.085          ,Mass                 ,6.10000000E+10     ,0              ,90         ,0              ,283.4646           ,0      ,none
Psyche         ,Sol        ,body   ,"160,160,160"   ,elements   ,138.5       ,119         ,84             ,False                ,1.53               ,0              ,90         ,0              ,63.93922           ,0      ,none
Jupiter        ,Sol        ,bary   ,"214,138,096"   ,elements   ,71492       ,71492       ,66854          ,126712761.8          ,126686531.9        ,268.056595     ,64.495303  ,284.95         ,870.536            ,0      ,none
Amalthea       ,Jupiter    ,body   ,"190,076,042"   ,elements   ,125         ,73          ,64             ,False                ,0.16456            ,268.05         ,64.49      ,231.67         ,772.631456         ,0      ,none
Thebe          ,Jupiter    ,body   ,"220,220,220"   ,elements   ,58          ,49          ,42             ,False                ,0.03015            ,268.05         ,64.69      ,8.56           ,533.70041          ,0      ,none
Io             ,Jupiter    ,body   ,"201,183,062"   ,elements   ,1829.4      ,1819.4      ,1815.7         ,False                ,5959.91547         ,268.05         ,64.5       ,200.39         ,203.4889538        ,0      ,none
Europa         ,Jupiter    ,body   ,"157,203,204"   ,elements   ,1562.6      ,1560.3      ,1559.5         ,False                ,3202.71210         ,268.08         ,64.51      ,36.022         ,101.3747235        ,0      ,none
Ganymede       ,Jupiter    ,bary   ,"150,137,108"   ,elements   ,2631.2      ,2631.2      ,2631.2         ,False                ,9887.83275         ,268.2          ,64.57      ,44.064         ,50.3176081         ,0      ,none
Callisto       ,Jupiter    ,bary   ,"208,219,213"   ,elements   ,2410.3      ,2410.3      ,2410.3         ,False                ,7179.28340         ,268.72         ,64.83      ,259.51         ,21.5710715         ,0      ,none
Himalia        ,Jupiter    ,bary   ,"220,220,220"   ,elements   ,75          ,67.5        ,60             ,False                ,0.15155            ,268.72         ,64.83      ,259.51         ,21.5710715         ,0      ,none
Saturn         ,Sol        ,bary   ,"214,197,096"   ,elements   ,60268       ,60268       ,54364          ,37940584.9           ,37931206.2         ,40.589         ,83.537     ,38.9           ,810.7939024        ,0      ,none
Pan            ,Saturn     ,body   ,"220,220,220"   ,elements   ,17.2        ,15.4        ,10.4           ,False                ,0.00028            ,40.6           ,83.5       ,48.8           ,626.044            ,0      ,none
Mimas          ,Saturn     ,body   ,"220,220,220"   ,elements   ,207.8       ,196.7       ,190.6          ,False                ,2.50349            ,40.66          ,83.52      ,333.46         ,381.994555         ,0      ,none
Enceladus      ,Saturn     ,body   ,"211,237,237"   ,elements   ,256.6       ,251.4       ,248.3          ,False                ,7.21037            ,40.66          ,83.52      ,6.32           ,262.7318996        ,0      ,none
Tethys         ,Saturn     ,body   ,"220,220,220"   ,elements   ,538.4       ,528.3       ,526.3          ,False                ,41.21353           ,40.66          ,83.52      ,8.95           ,190.6979085        ,0      ,none
Dione          ,Saturn     ,body   ,"220,220,220"   ,elements   ,563.4       ,561.3       ,559.6          ,False                ,73.11607           ,40.66          ,83.52      ,357.6          ,131.5349316        ,0      ,none
Rhea           ,Saturn     ,body   ,"220,220,220"   ,elements   ,765         ,763.1       ,762.4          ,False                ,153.94175          ,40.38          ,83.55      ,235.16         ,79.6900478         ,0      ,none
Titan          ,Saturn     ,bary   ,"255,197,105"   ,elements   ,2575.15     ,2574.78     ,2574.47        ,False                ,8978.13710         ,39.4827        ,83.4279    ,186.5855       ,22.5769768         ,0      ,TRUE
Hyperion       ,Saturn     ,bary   ,"217,209,173"   ,elements   ,180.1       ,133         ,102.7          ,False                ,0.37049            ,39.4827        ,83.4279    ,186.5855       ,22.5769768         ,0      ,none
Iapetus        ,Saturn     ,bary   ,"133,143,120"   ,elements   ,745.7       ,745.7       ,712.1          ,False                ,120.51511          ,318.16         ,75.03      ,355.2          ,4.5379572          ,0      ,none
Uranus         ,Sol        ,bary   ,"173,233,255"   ,elements   ,25559       ,25559       ,24973          ,5794556.5            ,5793951.3          ,257.311        ,-15.175    ,203.81         ,-501.1600928       ,0      ,none
Portia         ,Uranus     ,body   ,"160,160,160"   ,elements   ,54          ,54          ,54             ,Mass                 ,1.70000000E+18     ,257.31         ,-15.18     ,25.03          ,-701.486587        ,0      ,none
Puck           ,Uranus     ,body   ,"160,160,160"   ,elements   ,77          ,77          ,77             ,Mass                 ,2.90000000E+18     ,257.31         ,-15.18     ,91.24          ,-472.545069        ,0      ,none
Miranda        ,Uranus     ,body   ,"220,220,220"   ,elements   ,240.4       ,234.2       ,232.9          ,False                ,4.3                ,257.43         ,-15.08     ,30.7           ,-254.6906892       ,0      ,none
Ariel          ,Uranus     ,body   ,"220,220,220"   ,elements   ,581.1       ,577.9       ,577.7          ,False                ,83.5               ,257.43         ,-15.1      ,156.22         ,-142.8356681       ,0      ,none
Umbriel        ,Uranus     ,body   ,"220,220,220"   ,elements   ,584.7       ,584.7       ,584.7          ,False                ,85.1               ,257.43         ,-15.1      ,108.05         ,-86.8688923        ,0      ,none
Titania        ,Uranus     ,bary   ,"220,220,220"   ,elements   ,788.9       ,788.9       ,788.9          ,False                ,226.9              ,257.43         ,-15.1      ,77.74          ,-41.3514316        ,0      ,none
Oberon         ,Uranus     ,bary   ,"220,220,220"   ,elements   ,761.4       ,761.4       ,761.4          ,False                ,205.3              ,257.43         ,-15.1      ,6.77           ,-26.7394932        ,0      ,none
Francisco      ,Uranus     ,bary   ,"220,220,220"   ,elements   ,11          ,11          ,11             ,Mass                 ,7.20000000E+15     ,257.43         ,-15.1      ,6.77           ,-26.7394932        ,0      ,none
Caliban        ,Uranus     ,bary   ,"220,220,220"   ,elements   ,21          ,21          ,21             ,Mass                 ,2.50000000E+17     ,257.43         ,-15.1      ,6.77           ,-26.7394932        ,0      ,none
Sycorax        ,Uranus     ,bary   ,"220,220,220"   ,elements   ,78.5        ,78.5        ,78.5           ,Mass                 ,2.50000000E+18     ,257.43         ,-15.1      ,6.77           ,-26.7394932        ,0      ,none
Neptune        ,Sol        ,bary   ,"047,100,224"   ,elements   ,24764       ,24764       ,24341          ,6836531.6            ,6835100.0          ,299.36         ,43.46      ,249.978        ,541.1397757        ,0      ,none
Larissa        ,Neptune    ,body   ,"160,160,160"   ,elements   ,104         ,104         ,89             ,False                ,0.25484            ,299.36         ,43.41      ,179.41         ,649.053447         ,0      ,none
Proteus        ,Neptune    ,body   ,"255,193,181"   ,elements   ,218         ,208         ,201            ,False                ,2.58342            ,299.27         ,42.91      ,93.38          ,360.7654228        ,0      ,none
Triton         ,Neptune    ,bary   ,"219,211,237"   ,elements   ,1352.6      ,1352.6      ,1352.6         ,False                ,1428.49546         ,299.36         ,41.17      ,296.53         ,-61.2572637        ,0      ,none
Nereid         ,Neptune    ,bary   ,"220,220,220"   ,elements   ,178.5       ,178.5       ,170            ,Mass                 ,3.10000000E+19     ,299.36         ,41.17      ,296.53         ,-61.2572637        ,0      ,none
Pluto          ,Sol        ,bary   ,"222,213,195"   ,elements   ,1188.3      ,1188.3      ,1188.3         ,975.500000           ,869.61             ,312.993        ,6.163      ,302.695        ,-56.3625225        ,0      ,none
Charon         ,Pluto      ,bary   ,"217,197,186"   ,elements   ,606         ,606         ,606            ,False                ,105.88             ,312.993        ,6.163      ,122.695        ,-56.3625225        ,0      ,none
Nix            ,Pluto      ,bary   ,"220,220,220"   ,elements   ,49.8        ,33.2        ,31.1           ,False                ,0.0030             ,312.993        ,6.163      ,122.695        ,-56.3625225        ,0      ,none
Hydra          ,Pluto      ,bary   ,"220,220,220"   ,elements   ,50.9        ,36.1        ,30.9           ,False                ,0.0032             ,312.993        ,6.163      ,122.695        ,-56.3625225        ,0      ,none
